,driver_name,rating,year
588,michael wainwright,B,2020
589,michael wainwright,B,2022
590,michael wainwright,B,2021
591,michele beretta,S,2020
592,michelle gatting,S,2019
593,michelle gatting,S,2020
594,michelle gatting,S,2022
595,miguel molina,P,2017
596,miguel molina,P,2018
597,miguel molina,P,2019
598,miguel molina,P,2020
599,miguel molina,P,2022
600,miguel molina,P,2021
601,mike conway,P,2019
602,mike conway,P,2018
603,mike conway,P,2017
604,mike conway,P,2020
605,mike conway,P,2022
606,mike conway,P,2021
607,mike rockenfeller,P,2019
608,mike rockenfeller,P,2018
609,mikhail aleshin,P,2019
610,mikhail aleshin,P,2017
611,mikhail aleshin,P,2018
612,mikkel jensen,S,2020
613,mikkel jensen,G,2022
614,mikkel pedersen,S,2022
615,mirko bortolotti,P,2022
616,miroslav konopka,B,2019
617,miroslav konopka,B,2017
618,miroslav konopka,B,2022
619,miroslav konopka,B,2021
620,morris chen,B,2020
621,motoaki ishikawa,B,2019
622,motoaki ishikawa,B,2018
623,nabil jeffri,S,2018
624,nathanael berthon,G,2020
625,nathanael berthon,G,2018
626,nathanael berthon,G,2019
627,nathanael berthon,G,2017
628,neel jani,P,2018
629,neel jani,P,2019
630,neel jani,P,2017
631,neel jani,P,2021
632,nelson panciatici,P,2017
633,nelson piquet jr,P,2017
634,nicholas boulle,S,2019
635,nicholas boulle,S,2018
636,nicholas cassidy,G,2022
637,nicholas foster,S,2017
638,nicholas foster,G,2020
639,nicholas tandy,P,2019
640,nicholas tandy,P,2017
641,nicholas yelloly,G,2017
642,nick tandy,P,2018
643,nick tandy,P,2020
644,nick tandy,P,2022
645,nicki thiim,P,2017
646,nicki thiim,P,2018
647,nicki thiim,P,2019
648,nicki thiim,P,2020
649,nicki thiim,P,2022
650,nicklas nielsen,S,2020
651,nicklas nielsen,G,2022
652,nicklas nielsen,G,2021
653,nicky catsburg,G,2019
654,nicky catsburg,G,2018
655,nicky catsburg,P,2022
656,niclas jonsson,S,2017
657,niclas jonsson,S,2018
658,niclas jonsson,S,2019
659,nico muller,P,2022
660,nicolas jamin,G,2019
661,nicolas jamin,G,2020
662,nicolas jamin,G,2022
663,nicolas lapierre,P,2019
664,nicolas lapierre,P,2018
665,nicolas lapierre,P,2017
666,nicolas lapierre,P,2020
667,nicolas lapierre,P,2022
668,nicolas lapierre,P,2021
669,nicolas leutwiler,B,2022
670,nicolas prost,P,2017
671,nicolas varrone,S,2022
672,nigel moore,S,2017
